start_time	end_time	duration	start_x	start_y	end_x	end_y	start_vdx	start_vdy	end_vdx	end_vdy
0.151842220453545	0.187839660386089	0.0359974399325438	911	631.4	531.2	600.8	6.21559633027523	2.66815642458101	-2.4954128440367	1.98435754189944
0.517816193052568	0.539814628544264	0.021998435491696	538.4	600.7	654.8	555	-2.33563218390805	1.98434004474273	0.34022988505747	0.961968680089485
0.845792867941782	0.86179173013079	0.0159988621890079	671.2	555.4	632.2	514.3	0.719723183391004	0.972004479283314	-0.17993079584775	0.0515117581187
1.75972787055071	1.9737126523396	0.213984781788895	670.7	492	684	344.2	0.701714285714287	-0.442477876106195	1.00571428571429	-3.71238938053097
3.72358820436057	3.73758720880141	0.0139990044408478	605.9	466.9	580.2	437.2	-0.784810126582279	-1.00782122905028	-1.37629459148446	-1.67150837988827
3.95357184836757	4.20355407008901	0.249982221721439	567.1	442.6	521.1	246.3	-1.66438356164384	-1.53200883002207	-2.71461187214612	-5.86534216335541
5.11148949936614	5.12748836155515	0.0159988621890079	572.5	428.3	608.2	474.5	-1.54994259471871	-1.86830357142857	-0.730195177956371	-0.837053571428572
6.92336064239498	7.21334001957439	0.289979377179407	661.5	500.4	622.5	269.3	0.494252873563218	-0.25749167591565	-0.402298850574713	-5.3873473917869
8.52324686138309	8.76322979424731	0.239982932864223	604.4	407.5	552	305.7	-0.813714285714286	-2.30939226519337	-2.01142857142857	-4.55911602209945
8.98721386489342	9.00321272708243	0.0159988621890079	588.9	403.6	651.8	415.4	-1.17067583046965	-2.40621531631521	0.27033218785796	-2.14428412874584
9.84715270760353	9.85915185426711	0.0119991466635838	592.1	394.6	563.6	387.9	-1.09988518943743	-2.61179087875417	-1.75430539609644	-2.76084538375973
10.3631160132354	10.5771007950243	0.213984781788895	557	373.6	630.1	280	-1.90366972477064	-3.06533776301218	-0.227064220183486	-5.13842746400886
11.2570524381008	11.2710514425416	0.0139990044408478	651.3	390.7	605.3	400.9	0.260668973471741	-2.70758928571429	-0.800461361014995	-2.47991071428571
11.855009912455	12.0489961165295	0.193986204074463	568.8	397.3	548.4	216.1	-1.62557077625571	-2.52921719955899	-2.09132420091324	-6.52480705622933
12.8229410749627	12.8309405060718	0.00799943110905588	563.5	348.2	582.6	352.2	-1.7545871559633	-3.63192904656319	-1.31651376146789	-3.54323725055432
14.0128564503393	14.0528536058264	0.0399971554870717	622	387.8	1057.8	508.9	-0.412371134020619	-2.76923076923077	9.57159221076747	-0.0691192865105914
14.6628102268151	14.9187920218683	0.255981795053231	1055.2	553.8	832.7	226.8	9.41496598639456	0.91767288693743	4.36961451247166	-6.26125137211855
15.2207705457113	15.2487685545348	0.0279980088234879	838.7	347.8	1022.4	443.5	4.52104664391354	-3.62072767364939	8.70079635949943	-1.51047409040794
15.9887159308128	16.0007150774472	0.01199914663448	1034.5	494.9	1006.9	483.7	8.97610921501706	-0.379578246392897	8.3481228668942	-0.62819089900111
16.324692036811	16.5686746852007	0.243982648389647	1015.9	498	567.6	247.1	8.51415628539071	-0.307692307692308	-1.63986409966025	-5.82197802197802
17.0306418309337	17.0466406931519	0.0159988622181118	593.7	405.3	609.7	475.3	-1.05707762557078	-2.36585365853659	-0.691780821917807	-0.813747228381374
18.050569295563	18.066568157752	0.0159988621890079	630	456.4	583.9	447.5	-0.228571428571429	-1.23281596452328	-1.28228571428571	-1.43015521064302
18.3165503794735	18.5825314633839	0.265981083910447	577.5	462.1	453.3	236	-1.41242937853107	-1.09309967141292	-4.21920903954802	-6.0460021905805
19.1264927778393	19.1444914978056	0.0179987199662719	518.3	442.6	576.4	485.9	-2.77220956719818	-1.53709856035437	-1.44874715261959	-0.578073089700997
21.3023380356899	21.6303147105791	0.327976674889214	637.3	464.5	555.5	286.7	-0.0613636363636374	-1.04510451045105	-1.92045454545455	-4.95709570957096
22.2522704782314	22.2702691981976	0.0179987199662719	564.1	427.1	634.3	470	-1.72892938496583	-1.8783185840708	-0.12984054669704	-0.929203539823009
22.838228805922	22.8502279525856	0.0119991466635838	644.6	467.4	676.4	484.2	0.105022831050229	-0.988913525498892	0.831050228310502	-0.616407982261641
23.4441857113852	23.6981676486612	0.253981937275967	669.4	495.6	597.9	314.4	0.667423382519863	-0.36083608360836	-0.955732122587969	-4.34763476347635
24.4981107581407	24.508110047027	0.00999928888631985	598	428.7	573.2	424.4	-0.953461975028377	-1.83480176211454	-1.51645856980704	-1.9295154185022
25.7840193066804	25.7940185955376	0.00999928885721602	637.8	415.5	614.1	418.2	-0.0501710376282793	-2.13495575221239	-0.590649942987457	-2.07522123893805
26.1999897236237	26.4359729409334	0.235983217309695	608.2	452.6	515.9	239.6	-0.71945701357466	-1.29978118161926	-2.80769230769231	-5.96061269146608
26.7379514647473	26.7539503269363	0.0159988621890079	564.7	344.5	630.5	374	-1.71136363636364	-3.68131868131868	-0.215909090909091	-3.03296703296703
28.0618573109969	28.0718565998541	0.00999928885721602	656.7	432.2	682.6	439	0.383027522935781	-1.77333333333333	0.977064220183487	-1.62222222222222
29.001790464652	29.3137682773522	0.311977812700206	707.8	433.2	557.7	225.2	1.54441913439635	-1.73186813186813	-1.874715261959	-6.3032967032967
30.2896988709399	30.3056977331289	0.0159988621890079	584.9	442	649.4	450.4	-1.26231386025201	-1.55728587319244	0.215349369988545	-1.37041156840934
30.6276748347154	30.8216610387608	0.193986204045359	704.9	447.6	612.2	297.4	1.48512585812357	-1.42477876106195	-0.636155606407322	-4.74778761061947
31.9195829565579	31.9295822454151	0.00999928885721602	597.4	440.3	574.3	435.1	-0.975945017182131	-1.59333333333333	-1.50515463917526	-1.70888888888889
33.5194691755751	33.749452819553	0.229983643977903	703.4	475.9	627.3	336.5	1.45579793340987	-0.801331853496116	-0.291618828932263	-3.89567147613762
34.1174266499293	34.171422809799	0.0539961598697118	648.4	396.9	1005.4	411.3	0.191780821917808	-2.54928017718715	8.34246575342466	-2.23034330011074
34.3494101516844	34.3694087293989	0.019998577714432	1014.6	423.7	1081.5	418.6	8.48471121177803	-1.95138121546961	10	-2.06408839779005
34.9093703283288	34.9893646392738	0.0799943109450396	1142.1	401.4	656.6	78.3	11.2704826038159	-2.39653304442037	0.372615039281706	-9.397616468039
35.0893575279624	35.1213552523404	0.0319977243780158	643.6	49.3	519.5	-81.1	0.0800000000000005	-9.71038824763903	-2.67777777777778	-12.4470094438615
35.2933430208941	35.3053421675286	0.01199914663448	516.8	-98.7	489.9	-129.4	-2.70175438596491	-12.5400410677618	-3.29166666666667	-13.170431211499
35.5853222558508	35.6013211180398	0.0159988621890079	479.1	-107.1	424.9	-139.7	-3.5092693565976	-12.6605316973415	-4.69138495092694	-13.3271983640082
36.0012926727941	36.0112919616513	0.00999928885721602	390.6	-103.2	398.5	-70.9	-5.43355119825708	-12.6454265159301	-5.26143790849673	-11.9815005138746
36.0332903971721	36.2692736144818	0.235983217309695	420.8	-69.9	427.8	-141.6	-4.78080697928026	-11.9364102564103	-4.62813522355507	-13.4071794871795
36.4172630897374	36.4272623785946	0.00999928885721602	446.9	-94.8	475.2	-98.4	-4.23001095290252	-12.4855967078189	-3.61007667031763	-12.559670781893
